rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
154,frame_0012.jpg,4.8,0.3987,0.2973,0.1667,1.0,6,1,False,False
155,frame_0203.jpg,81.2,0.3984,0.4408,0.1667,0.64,4,1,False,False
156,frame_0399.jpg,159.6,0.3984,0.4849,0.3333,0.28,9,2,False,False
157,frame_0281.jpg,112.4,0.3966,0.4172,0.3333,0.44,9,2,False,False
158,frame_0268.jpg,107.2,0.3953,0.5586,0.3333,0.08,6,2,False,False
159,frame_0208.jpg,83.2,0.3951,0.3862,0.1667,0.76,5,1,False,False
160,frame_0091.jpg,36.4,0.3939,0.3598,0.5,0.32,6,3,False,False
161,frame_0113.jpg,45.2,0.3938,0.4917,0.3333,0.24,10,2,False,False
162,frame_0068.jpg,27.2,0.3923,0.3847,0.0,1.0,9,0,False,False
163,frame_0076.jpg,30.4,0.3919,0.4158,0.0,0.92,11,0,False,False
164,frame_0333.jpg,133.2,0.3895,0.5471,0.3333,0.08,12,2,False,False
165,frame_0088.jpg,35.2,0.3873,0.3987,0.3333,0.44,7,2,False,False
166,frame_0269.jpg,107.6,0.3851,0.5542,0.3333,0.04,10,2,False,False
167,frame_0013.jpg,5.2,0.3848,0.2695,0.1667,1.0,6,1,False,False
168,frame_0388.jpg,155.2,0.3833,0.5026,0.3333,0.16,10,2,False,False
169,frame_0095.jpg,38.0,0.3819,0.4998,0.3333,0.16,7,2,False,False
170,frame_0381.jpg,152.4,0.3811,0.4462,0.5,0.04,9,3,False,False
171,frame_0080.jpg,32.0,0.3763,0.3486,0.1667,0.76,8,1,False,False
172,frame_0104.jpg,41.6,0.3724,0.3968,0.5,0.12,9,3,False,False
173,frame_0299.jpg,119.6,0.3662,0.4244,0.1667,0.52,10,1,False,False
174,frame_0194.jpg,77.6,0.3654,0.5187,0.1667,0.28,4,1,False,False
175,frame_0316.jpg,126.4,0.3648,0.3656,0.5,0.16,7,3,False,False
176,frame_0390.jpg,156.0,0.3643,0.5965,0.1667,0.08,9,1,False,False
177,frame_0222.jpg,88.8,0.3614,0.4428,0.3333,0.2,9,2,False,False
178,frame_0373.jpg,149.2,0.3598,0.4557,0.3333,0.16,13,2,False,False
179,frame_0230.jpg,92.0,0.359,0.57,0.1667,0.12,9,1,False,False
180,frame_0129.jpg,51.6,0.3564,0.3607,0.0,0.88,10,0,False,False
181,frame_0314.jpg,125.6,0.3555,0.379,0.5,0.08,10,3,False,False
182,frame_0201.jpg,80.4,0.3541,0.3841,0.1667,0.56,4,1,False,False
183,frame_0397.jpg,158.8,0.3539,0.4278,0.3333,0.2,11,2,False,False
184,frame_0181.jpg,72.4,0.3531,0.3903,0.5,0.04,11,3,False,False
185,frame_0267.jpg,106.8,0.3531,0.4582,0.3333,0.12,7,2,False,False
186,frame_0391.jpg,156.4,0.3531,0.5902,0.1667,0.04,7,1,False,False
187,frame_0081.jpg,32.4,0.3522,0.4165,0.0,0.72,8,0,False,False
188,frame_0192.jpg,76.8,0.3505,0.521,0.1667,0.2,4,1,False,False
189,frame_0167.jpg,66.8,0.3496,0.3591,0.1667,0.6,9,1,False,False
190,frame_0229.jpg,91.6,0.3478,0.4637,0.3333,0.08,10,2,False,False
191,frame_0283.jpg,113.2,0.3475,0.387,0.1667,0.52,9,1,False,False
192,frame_0105.jpg,42.0,0.3463,0.5605,0.1667,0.08,8,1,False,False
193,frame_0097.jpg,38.8,0.3442,0.4565,0.3333,0.08,11,2,False,False
194,frame_0272.jpg,108.8,0.3411,0.4502,0.3333,0.08,14,2,False,False
195,frame_0224.jpg,89.6,0.3373,0.4267,0.3333,0.12,8,2,False,False
196,frame_0087.jpg,34.8,0.337,0.382,0.1667,0.48,8,1,False,False
197,frame_0193.jpg,77.2,0.3344,0.3728,0.3333,0.24,5,2,False,False
198,frame_0109.jpg,43.6,0.3308,0.4296,0.3333,0.08,9,2,False,False
199,frame_0190.jpg,76.0,0.3303,0.4127,0.3333,0.12,8,2,False,False
200,frame_0119.jpg,47.6,0.3233,0.3546,0.1667,0.48,7,1,False,False
201,frame_0396.jpg,158.4,0.3227,0.4813,0.1667,0.16,10,1,False,False
202,frame_0009.jpg,3.6,0.3218,0.2436,0.0,1.0,4,0,False,False
203,frame_0323.jpg,129.2,0.3208,0.4936,0.1667,0.12,10,1,False,False
204,frame_0310.jpg,124.0,0.3189,0.5058,0.1667,0.08,9,1,False,False
205,frame_0108.jpg,43.2,0.3172,0.5184,0.1667,0.04,10,1,False,False
206,frame_0090.jpg,36.0,0.3168,0.2896,0.3333,0.36,8,2,False,False
207,frame_0228.jpg,91.2,0.3156,0.4153,0.3333,0.04,8,2,False,False
208,frame_0092.jpg,36.8,0.3126,0.4132,0.1667,0.28,8,1,False,False
209,frame_0007.jpg,2.8,0.3124,0.2247,0.0,1.0,5,0,False,False
210,frame_0179.jpg,71.6,0.3108,0.4736,0.1667,0.12,10,1,False,False
211,frame_0320.jpg,128.0,0.3105,0.425,0.1667,0.24,9,1,False,False
212,frame_0284.jpg,113.6,0.3085,0.2929,0.1667,0.56,10,1,False,False
213,frame_0207.jpg,82.8,0.3043,0.1886,0.1667,0.8,5,1,False,False
214,frame_0302.jpg,120.8,0.293,0.4259,0.0,0.4,6,0,False,False
215,frame_0204.jpg,81.6,0.2891,0.2062,0.1667,0.68,5,1,False,False
216,frame_0219.jpg,87.6,0.2884,0.3488,0.1667,0.32,4,1,False,False
217,frame_0183.jpg,73.2,0.2833,0.4506,0.1667,0.04,7,1,False,False
218,frame_0117.jpg,46.8,0.2827,0.4053,0.0,0.4,10,0,False,False
219,frame_0083.jpg,33.2,0.2825,0.209,0.1667,0.64,9,1,False,False
220,frame_0023.jpg,9.2,0.2824,0.1648,0.0,1.0,6,0,False,False
221,frame_0022.jpg,8.8,0.2813,0.1626,0.0,1.0,4,0,False,False
222,frame_0177.jpg,70.8,0.2796,0.3791,0.1667,0.2,15,1,False,False
223,frame_0223.jpg,89.2,0.2783,0.2926,0.3333,0.16,9,2,False,False
224,frame_0225.jpg,90.0,0.2771,0.4221,0.1667,0.08,9,1,False,False
225,frame_0185.jpg,74.0,0.2755,0.4189,0.1667,0.08,9,1,False,False
226,frame_0191.jpg,76.4,0.2745,0.3849,0.1667,0.16,5,1,False,False
227,frame_0096.jpg,38.4,0.2713,0.2946,0.3333,0.12,9,2,False,False
228,frame_0198.jpg,79.2,0.2687,0.2614,0.1667,0.44,4,1,False,False
229,frame_0212.jpg,84.8,0.2663,0.1925,0.1667,0.6,7,1,False,False
230,frame_0102.jpg,40.8,0.2659,0.3838,0.1667,0.12,7,1,False,False
231,frame_0093.jpg,37.2,0.2647,0.3334,0.1667,0.24,9,1,False,False
232,frame_0313.jpg,125.2,0.2638,0.3117,0.3333,0.04,8,2,False,False
233,frame_0213.jpg,85.2,0.2622,0.3004,0.0,0.56,5,0,False,False
234,frame_0311.jpg,124.4,0.262,0.408,0.1667,0.04,12,1,False,False
235,frame_0103.jpg,41.2,0.2569,0.3498,0.1667,0.16,7,1,False,False
236,frame_0215.jpg,86.0,0.2539,0.2158,0.1667,0.48,9,1,False,False
237,frame_0115.jpg,46.0,0.2498,0.2716,0.1667,0.32,7,1,False,False
238,frame_0178.jpg,71.2,0.2475,0.4311,0.0,0.16,12,0,False,False
239,frame_0205.jpg,82.0,0.2472,0.2065,0.0,0.72,3,0,False,False
240,frame_0101.jpg,40.4,0.2467,0.3613,0.1667,0.08,10,1,False,False
241,frame_0394.jpg,157.6,0.2456,0.2593,0.3333,0.08,10,2,False,False
242,frame_0216.jpg,86.4,0.2379,0.2997,0.0,0.44,6,0,False,False
243,frame_0210.jpg,84.0,0.237,0.202,0.0,0.68,5,0,False,False
244,frame_0086.jpg,34.4,0.225,0.242,0.0,0.52,6,0,False,False
245,frame_0121.jpg,48.4,0.2249,0.2258,0.0,0.56,8,0,False,False
246,frame_0100.jpg,40.0,0.224,0.3319,0.1667,0.04,7,1,False,False
247,frame_0218.jpg,87.2,0.2125,0.281,0.0,0.36,4,0,False,False
248,frame_0120.jpg,48.0,0.204,0.2,0.0,0.52,9,0,False,False
249,frame_0094.jpg,37.6,0.2021,0.3243,0.0,0.2,6,0,False,False
250,frame_0110.jpg,44.0,0.1783,0.3087,0.0,0.12,9,0,False,False
251,frame_0221.jpg,88.4,0.1768,0.2576,0.0,0.24,9,0,False,False
252,frame_0214.jpg,85.6,0.1732,0.1383,0.0,0.52,4,0,False,False
253,frame_0200.jpg,80.0,0.1706,0.1332,0.0,0.52,3,0,False,False
254,frame_0395.jpg,158.0,0.1666,0.2852,0.0,0.12,6,0,False,False
255,frame_0197.jpg,78.8,0.1648,0.1697,0.0,0.4,3,0,False,False
256,frame_0393.jpg,157.2,0.158,0.1999,0.1667,0.04,7,1,False,False
